BM25 NDCG@K,BM25 Relevance Score,SFR-Embedding-Mistral Default Instruct Relevance Score,SFR-Embedding-Mistral Default Instruct NDCG@K,SFR-Embedding-Mistral Specific Instruct Relevance Score,SFR-Embedding-Mistral Specific Instruct NDCG@K,gte-large-en-v1.5 Relevance Score,gte-large-en-v1.5 NDCG@K,GritLM-7B Default Instruct Relevance Score,GritLM-7B Default Instruct NDCG@K,GritLM-7B Specific Instruct Relevance Score,GritLM-7B Specific Instruct NDCG@K,e5-mistral-7b-instruct Default Instruct Relevance Score,e5-mistral-7b-instruct Default Instruct NDCG@K,e5-mistral-7b-instruct Specific Instruct Relevance Score,e5-mistral-7b-instruct Specific Instruct NDCG@K,voyage-large-2-instruct Relevance Score,voyage-large-2-instruct NDCG@K
1.0,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
1.0,5,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0,5,1.0
1.0,5,5,1.0,5,1.0,1,0.8122885095908974,4,0.9530721273977244,5,1.0,5,1.0,5,1.0,5,1.0
1.0,5,5,1.0,5,1.0,5,0.8438479800031593,5,0.9609619950007898,5,1.0,5,1.0,5,1.0,2,0.8991234782373295
1.0,5,0,0.8687949224876582,5,1.0,1,0.7593718558806801,5,0.9660839794726384,4,0.9737589844975316,0,0.8687949224876582,5,1.0,5,0.9123589900943762
0.9137686763803912,1,4,0.8613795759571343,4,0.9784421690950976,1,0.699077636470495,1,0.8835084350305099,5,0.9765874813724074,5,0.8829374068620365,0,0.8922108454754891,4,0.9002479095488755
0.8666943931371676,2,5,0.8740807338997766,5,0.9804174149300064,0,0.6350243374253619,5,0.8941820264285967,1,0.9054323083501432,5,0.89366331896977,4,0.8837619857890794,5,0.9093877391567887
0.8773314525245743,5,5,0.884128403634366,0,0.9021854597070782,0,0.5843528634445807,0,0.822831184238892,0,0.8331837551058111,4,0.8861894976523499,5,0.8930371444964551,5,0.916618102698873
0.8987290098728798,5,1,0.8477185724992322,1,0.8647388442887661,0,0.5508010008258913,5,0.8473579904171322,1,0.7996990193291766,5,0.9070784514978928,1,0.8561157990551393,0,0.8639885246143755
0.9040208167394326,4,5,0.8687393566118692,4,0.8718067707667445,5,0.5873368938814629,0,0.8030802083347309,5,0.8232290136398683,1,0.8727435224413518,0,0.8113803870845698,5,0.8841591398463357
