BM25 NDCG@K,BM25 Relevance Score,SFR-Embedding-Mistral Default Instruct Relevance Score,SFR-Embedding-Mistral Default Instruct NDCG@K,SFR-Embedding-Mistral Specific Instruct Relevance Score,SFR-Embedding-Mistral Specific Instruct NDCG@K,gte-large-en-v1.5 Relevance Score,gte-large-en-v1.5 NDCG@K,GritLM-7B Default Instruct Relevance Score,GritLM-7B Default Instruct NDCG@K,GritLM-7B Specific Instruct Relevance Score,GritLM-7B Specific Instruct NDCG@K,e5-mistral-7b-instruct Default Instruct Relevance Score,e5-mistral-7b-instruct Default Instruct NDCG@K,e5-mistral-7b-instruct Specific Instruct Relevance Score,e5-mistral-7b-instruct Specific Instruct NDCG@K
1.0,5,2,0.4,5,1.0,2,0.4,5,1.0,5,1.0,2,0.4,5,1.0
1.0,5,5,0.632111684340725,4,0.9226294385530918,5,0.632111684340725,5,1.0,1,0.6905177542123668,5,0.632111684340725,4,0.9226294385530918
1.0,5,1,0.5307212739772434,5,0.9407836178068272,5,0.7184327643863461,1,0.8122885095908974,5,0.7631344712273078,1,0.5307212739772434,5,0.9407836178068272
1.0,5,5,0.6096199500078983,2,0.8498630004891836,1,0.6312699409878451,5,0.8438479800031593,5,0.802958089007416,5,0.6096199500078983,5,0.950739522251854
0.9475179689950632,3,5,0.6608397947263839,5,0.8695617371474706,1,0.5746851349517917,1,0.7593718558806801,4,0.8025699727099096,5,0.6608397947263839,5,0.9572027470530946
0.9531749627448146,5,5,0.6973975865011866,5,0.8836215672179908,4,0.5989716337571425,5,0.7853089600901038,4,0.8022929575243575,5,0.6973975865011866,1,0.8755845031446045
0.9391402387269552,4,5,0.7251236670857091,5,0.8942847928291344,5,0.6357160359929577,5,0.8049801220100996,5,0.8204079531333689,4,0.7067985782247563,2,0.8320088617395197
0.9280376075822689,4,4,0.7310983895198532,1,0.8388846581544087,5,0.6647839068065992,4,0.8045827354723191,1,0.7709027867926187,5,0.7301944503811657,5,0.8454136370995952
0.9048270571126622,3,1,0.6935201189516351,4,0.8361333445863144,1,0.6318977679095824,4,0.8042584805377916,5,0.7871127343921867,1,0.6926801387143511,4,0.8422003606595022
0.9108820347543685,5,4,0.7002944529112627,1,0.7956620398040976,5,0.6553167220529681,4,0.8039875526494473,5,0.8006567900276751,4,0.6995079128787463,3,0.8267913828122743
0.904468401421635,4,1,0.6713564451764535,5,0.8074813462910175,1,0.6289803140678614,2,0.7806201240175533,5,0.8121871904118745,5,0.7168889617605857,5,0.8368101073348967
0.8564742272622321,0,5,0.688795391613692,4,0.8070843605740223,4,0.6380552011268369,5,0.7922611674839922,2,0.7903151341058628,1,0.6894610728339875,1,0.8030187939514107
0.8242781311017185,1,4,0.6942493060499516,1,0.7773105390911914,2,0.6263800312135351,1,0.7632143340995711,4,0.7907901182875416,1,0.6654559632449765,1,0.7734443639579829
0.7958020862324077,1,1,0.6717044422872788,3,0.7692226330515358,2,0.61605385189507,5,0.7740151597422871,4,0.7912102211100162,4,0.6715931028253311,1,0.7472870686362597
0.8114334995954631,5,5,0.6916067285695792,5,0.7857687895409694,5,0.6378713767902097,1,0.7559809563209334,1,0.7725842423768551,4,0.6828953651330406,4,0.7559842910862012
0.8175773146125578,4,1,0.6772184356075991,1,0.7683125376202372,5,0.6578155610413976,4,0.7639315088411119,5,0.788139253976424,5,0.7013725918116123,4,0.7639347349540958
0.8232231039303485,4,4,0.6872081838911305,4,0.775483019720046,1,0.6451941004304749,3,0.7635003433661118,3,0.7869588843736454,3,0.7028775587027571,5,0.7789779412050998
0.8063216928592262,1,4,0.6964308112198105,1,0.7599892190230972,0,0.6261706335861179,1,0.748359850373269,1,0.7711267192517857,4,0.7116381764873297,5,0.7928659673238555
0.8188173783908417,5,3,0.6979395253633862,5,0.7737898050054223,1,0.6155762234744033,1,0.7343241225235605,4,0.7775726700607158,1,0.6986366720415788,1,0.7775767762493351
0.8237030088144609,4,1,0.6858607346183344,5,0.7866309207594597,4,0.6259422976678077,5,0.7482294393434056,1,0.7633465535346021,1,0.6865390825784686,5,0.7903157754661555
0.8347322710822873,5,3,0.6875201617177207,5,0.7986193213520429,4,0.6356200120022416,1,0.7353391228042514,1,0.7500651232400266,3,0.6881809592899425,5,0.8022088405770926
0.8201893298718885,1,5,0.7015096602022717,4,0.8036278825608619,4,0.6446825471243222,4,0.7419215328542837,1,0.7376279480603671,5,0.7021540230047364,2,0.794692570962555
0.8113913729733102,1,5,0.7189509771493914,3,0.8071765159095227,1,0.6390561668746904,3,0.7465852593905541,1,0.7303219548714467,1,0.6954890778174464,3,0.7984026740001507
0.8263835251849461,5,5,0.7355635204735909,1,0.7988705012613607,1,0.6336971400340672,0,0.733498338804538,5,0.7467351759071839,5,0.7125128856415704,4,0.807779493284573
0.8283651099198882,2,1,0.7328748984590213,1,0.795459320244957,3,0.6435847530902241,1,0.7308332878967694,1,0.7439190453604038,1,0.7100873537868634,1,0.8042666288155147
0.8247015415088018,1,1,0.7302767140114179,1,0.7921628816170085,5,0.6642967716664275,1,0.7282578816912436,3,0.7523546379917813,5,0.7300574030739827,1,0.8008719270758925
0.8429870591769583,5,1,0.727763293849608,1,0.7889739874192554,5,0.6843330724491645,1,0.7257664966443547,0,0.7441428510376477,1,0.7275463766432725,1,0.7975879755444423
0.8438304556756934,1,1,0.7292256158951086,2,0.7954790251157269,4,0.7021432087539154,4,0.743354072918616,5,0.7670032280214591,1,0.7290098638616014,0,0.7933037241796739
0.8658159174999216,5,2,0.7359478059816749,1,0.7965609078535744,1,0.7037188228002602,5,0.7658710384877669,4,0.7841052558261846,2,0.7357331952413814,1,0.7943971139061501
0.8665152875514056,1,1,0.7373240511598237,0,0.7924092168872828,1,0.705263046066472,5,0.7879394011029893,1,0.7852305034377848,1,0.7371105589748885,1,0.7954687201529836
0.8826143199095391,4,0,0.7335358712746961,1,0.7934757645303285,0,0.7016395873163741,4,0.8044421360014534,4,0.8017471559503969,1,0.7384612167907256,1,0.796519548861171
0.883209080609566,1,1,0.7348859711472749,4,0.8097223339370178,1,0.703151296817663,5,0.8256998646296135,5,0.8230185392953888,0,0.734719638517271,4,0.8127506962564365
